seq,word,pinyins,strokes,strokesok,explanation
0001,一,yī,一,true(a1~e1),一  (指事。一”是汉字部首之一。本义数词。大写作壹”。最小的正整数。常用以表示人或事、物的最少数量) 同本义  一，惟初太始道立于一，造分天地，化成万物。--《说文》 一也者，万物之本也。--《淮南
0002,乙,yǐ,⺄,true(a1~e1),乙  (象形。甲骨文字形。本义象植物屈曲生长的样子) 同本义  乙，草木冤曲而出也。象形。--《说文》 乙者，物蕃屈有节欲出。--《白虎通》 思乙乙其若抽。--陆机《文赋》。注抽也。” 其於十母为甲乙
0003,二,èr,一 一,true(a2~e2),二  (会意。古文字二用两横画表示，是原始记数符号) 一加一的和  二，地之数也。从耦一，会意。古文又从弋。--《说文》 因二以济民行。--《易·系辞》。虞注谓乾与坤也◇世官书以贰为之，为防奸易。”
0004,十,shí,一 丨,true(a2~e2),十  (指事。甲骨文象用一根树枝代表十，金文象是结绳记数，用一个结表示十◇来一点变成了一横。本义九加一的和) 同本义  十，数之具也。╠为东西，|为南北，则四方中央备矣。--《说文》 十是数之小成。-
0005,丁,dīng、zhēng,一 亅,true(a2~e2),丁  (象形。金文象俯视所见的钉头之形，小篆象侧视的钉形。本义钉子) 同本义。丁为钉”的古字  丁，钻也。象形。今俗以钉为之，其质用金或竹，若木。--《说文》 又如丁屐(底有钉齿的木鞋);丁子(蝌蚪。
0006,厂,chǎng、ān、hàn,一 丿,true(a2~e2),厂   (形声。从广，敞声。从广”，表示与房屋有关。本义棚舍)  没有墙壁的简易房屋   又如厂屋(棚舍;无隔墙的房屋)  马屋;牲口棚子   架北墙为厂。--《齐民要术》  工厂   正德十四年，广
0007,七,qī,一 乚,true(a2~e2),七〈数〉 (指事。从一ㄣ。画以纪数。本义六加一的和) 同本义  七，阳之正也。从一，微阴从中斜出也。--《说文》 其数七。--《礼记·月令》 七者，天地四时人之始也。--《汉书·律历志》 七主星。--
0008,卜,bo、bǔ,丨 丶,true(a2~e2),卜--见萝卜” 卜  ①占卜～卦。 ②预料生死未～。 ③选择（处所）～宅。 ④姓。又见·。 【卜筮】古时占卜， 用龟甲称卜，用蓍草称筮，合称卜筮。 卜 1.我国古代少数民族名。即濮。 2.通"仆"。见
0009,八,bā,丿 ㇏,true(a2~e2),八  (象形。甲骨文象分开相背的样子『字部首之一。从八”的字多与分解、分散、相背有关。本义相背分开) 同本义  八，别也。象分别相背之形。--《说文》。段玉裁注今江、浙俗语以物与人谓之八，与人则分别矣
0010,人,rén,丿 ㇏,true(a2~e2),人  (象形。甲骨文字形，象侧面站立的人形。人”是汉字部首之一。本义能制造工具改造自然并使用语言的高等动物) 同本义  人，天地之性最贵者也。此籀文象臂胫之形。--《说文》 故人者，天地之德，阴阳之交
0011,入,rù,丿 ㇏,true(a2~e2),入  (象形。甲骨文字形，象个尖头器具，尖头器具容易进入。本义进来，进去) 同本义  入，内也。--《说文》 他人入室。--《诗·唐风·山有枢》 就不欲入。--《庄子·人间世》 有蛇自泉宫出，入于国。
0012,儿,ér,丿 乚,true(a2~e2),儿  (象形。甲骨文字形，下面是人”字，上面象小儿张口哭笑。儿”是汉字部首之一，从儿”的字大都与人”有关。本义幼儿。古时男称儿，女称婴，后来孩童都称儿) 同本义  儿，孺子也。--《说文》 专气致柔，
0013,匕,bǐ,丿 乚,true(a2~e2),匕  (象形。从二匕，匕亦声。甲骨文字形，象汤匙形『字部首之一。本义勺子。按一说匕”象反人形，妣”之初文) 古代的一种取食器具，长柄浅斗，形状像汤勺  先主方食，失匕箸。(箸筷子)--《三国志·蜀志·
0014,几,jī、jǐ,丿 ⺄,true(a2~e2),几  (象形。本义古人席地而坐时有靠背的坐具) 同本义  几，坐所以凭也。--《说文》 掌五几五席之名物。--《周礼·司几筵》。注五几左右玉雕彤漆素。” 室中度以几，堂上度以筵。--《考工记·匠人》
0015,九,jiǔ,丿 ⺄,true(a2~e2),九  (指事。本义数词。比八大一的基数) 同本义  古人造字以纪数，起于一，极于九，皆指事也。二三四为积画，余皆变化其体。--朱骏声《说文通训定声》 乾玄用九，乃见天则。--《易·文言》传 九者，阳之
0016,刁,diāo,𠃌 ㇀,true(a2~e2),刁  古代行军用具。一种有柄的小斗，白天可供一人烧饭，夜间敲击以巡更   刁  狡猾，奸诈  乖巧，机灵  这话实在刁的，说到我心里了。--《再生缘》 有无赖特征  说话刻薄  口吃结巴  刁 狡猾～
0017,了,le、liǎo,㇇ 亅,true(a2~e2),了〈助〉  用在动词或形容词后，表示完成  了 〈语气〉 表示肯定语气  表示促进或劝止  表示感叹语气  了 〈动〉 (象形。从子，无臂。小篆字象婴儿束其两臂形。初生的婴儿，往往束其两臂而裹之。本义
0018,刀,dāo,𠃌 丿,true(a2~e2),刀  (象形。小篆字形，象刀形『字部首之一。本义古代兵器名) 同本义  刀，兵也。象形。--《说文》 刀，到也，以斩伐到其所乃击之也。--《释名》 刀光照塞月，阵色明如昼。--唐·崔国辅《从军行》 又
